,Cypress Creek,Crooked Creek,Forked Lake,Cucumber Creek l,Cucumber Creek2,Refuge East,Refuge West,Caney,Refuge North,H-shoe Lake,Brick Slough,Grassy Lake,Buzzards Roost,Holly Creek
Acer negundo,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0
Acer rubrum,0,9.5,8.2,28.4,6.5,48.7,38.2,19,0,1.5,0,0,1.3,6.1
Acer saccharum,25.5,46.4,37.2,14.7,11.4,10.7,23.2,4.9,0,0,0,0,0,0
Betula nigra,14.1,23.7,18.6,0,0,0,0,0,0,0,0,0,0,0
Bumelia lanuginosa,0,0,0,1.9,0,0,0,15.8,19.2,0,0,0,0,0
Carpinus caroliniana,13.6,41.6,41.4,59.5,64.4,41.9,68.3,0,0,26.5,46.3,9.4,60.3,16.1
Carya illinoensis,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Carya ovata,0,0,0,7.6,0,0,0,8,2.6,8.5,5.9,3.6,1.9,3.8
Carya texana,4.2,7.6,3.6,0,0,0,0,38.8,3.4,0,0,0,0,0
Carya tomentosa,11.6,16.8,4.1,24.2,16.8,48.8,36,0,0,37.3,8.7,22.8,7.7,19.4
Celtis laevigata,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0
Cephalanthus occidentalis,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0
Cercis canadensis,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0
Cornus amomum,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0
Cornus florida,0,0,0,17.2,6.5,4.1,1.3,0,0,0,0,0,0,0
Crataegus marshallii,0,0,0,0,0,0,0,0,0,5.6,0,2.9,1.7,0
Crataegus spp.,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0
Crataegus viridus,16,0,0,0,0,0,0,0,0,0,0,0,0,0
Diospyros virginiana,0,0,0,0,0,1.6,2.5,0,0,0,0,0,0,0
Fraxinus pennsylvanica,0,0,0,4.6,15.2,0,0,0,0,3.7,0,1.8,0,3.6
Gleditsia triacanthos,0,6.3,0,0,0,0,0,0,0,2.4,4.4,0,0,0
Ilex decidua,0,4.4,25.4,0,0,0,0,13.9,0,21.2,1.6,6.1,1.7,1.7
Ilex opaca,0,21.7,29.6,1.9,26.2,22.7,19.2,0,0,0,29.6,0,2.3,34.9
Liquidambar styraciflua,0,17.9,4.8,36.2,0,6.6,4.6,38.1,62.5,13.9,34.5,4,44,21.2
Morus alba,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0
Morus rubra,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0
Nyssa sylvatica,4.3,7.8,17.8,0,82.7,4.5,23.5,0,4.9,2.7,18.3,0,8.6,11
Pinus taeda,0,0,0,0,4.4,0,0,0,0,23.3,0,0,6,0
Planera aquatica,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
Platanus occidentalis,43,0,10.3,2.6,13.8,7.1,3.1,0,0,0,0,0,0,0
Prunus serotina,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0
Quercus alba,0,11,0,35.9,24.8,8.8,24.4,54.1,44.9,0,0,4.5,0,21.4
Quercus falcata,0,7.2,0,0,0,0,0,0,0,9.8,0,0,30.3,18.7
Quercus lyrata,0,0,0,0,0,0,7.5,0,0,7.6,14,37.9,21.6,64.9
Quercus nigra,0,10.9,10.9,0,0,12.9,8.9,24.4,0,3.8,32.7,0,33.3,0
Quercus nuttalii,0,0,0,0,0,0,0,34.6,127.9,0,0,28.6,5.2,1.9
Quercus phellos,0,7.3,12.7,0,0,38.1,3.6,0,4.5,83.7,75,125,35.4,45.9
Quercus rubra,0,0,0,15.5,6.1,0,0,0,0,0,0,0,0,0
Quercus stellata,0,0,0,0,0,1.3,1.3,0,0,0,0,0,0,0
Quercus velutina,0,0,0,0,0,0,0,0,0,12.3,0,0,7.1,0
Taxodium distichum,139.4,18.4,36.5,0,0,0,0,0,0,0,0,0,0,0
Tilia americana,0,5,0,3.4,0,0,0,0,0,0,0,0,0,0
Tilia carolinlana,1.9,0,16.4,0,0,8.4,0,0,0,0,0,0,0,0
Ulmus alata,0,2.2,0,0,0,0,0,0,0,6.3,1.6,0,1.7,0
Ulmus americana,4.2,0,0,50,21,13.6,13.3,1.5,0,0,0,0,0,3.5
Ulmus rubra,14.3,25.9,22.6,0,0,15,21.2,36.9,20.9,30,25,39.6,29.3,25.9
Zanthoxylum clava-herculis,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0
