xx yy
.09 .09
.29 .02
.38 .03
.39 .18
.48 .03

.59 .02
.65 .16
.67 .13
.73 .13
.79 .03

.86 .13
.89 .08
.98 .02
.02 .18
.11 .31

.42 .22
.48 .13
.62 .21
.73 .23
.89 .23

.02 .41
.03 .44
.07 .42
.52 .42
.64 .43

.08 .59
.08 .63
.12 .63
.12 .66
.17 .58

.31 .53
.32 .52
.42 .49
.52 .52
.91 .52

.94 .58
.34 .68
.37 .68
.47 .67
.52 .67

.59 .67
.66 .68
.76 .66
.73 .73
.89 .74

.94 .78
.98 .79
.97 .86
.12 .84
.11 .94

.17 .95
.21 .79
.29 .84
.32 .83
.35 .86

.39 .79
.52 .93
.58 .83
.69 .93
.77 .93

.36 .97
.36 .96
.39 .96
.43 .96
.62 .97
