x y
1.74589 3.35255
0.1719 3.67182
2.57719 2.02165
7.54887 1.01011
7.16315 0.83455
3.88303 4.83336
1.66221 4.43363
4.93326 1.35957
0.318 0.79685
5.40794 0.87116
1.46773 3.90015
1.60678 0.26961
0.36682 0.5725
6.31185 3.01523
1.03743 3.94995
3.31706 0.68904
7.85248 4.80901
8.3122 1.07573
9.87456 2.57172
7.84339 3.37696
2.07328 0.61708
9.23746 2.20161
6.81012 2.07754
4.88445 3.1886
1.09219 2.38184
4.01011 1.20744
2.28332 4.19864
0.4332 0.32356
7.1873 3.01202
5.55819 0.81835
2.46822 2.99688
4.80948 3.46719
3.20219 1.73493
1.391 4.61005
3.48461 2.74013
0.68204 1.53657
0.79164 1.8335
7.91547 0.88581
2.2215 1.32761
7.12448 1.20817
1.5775 2.67975
7.31983 1.26038
1.91173 1.56075
9.8701 0.98046
2.79833 2.29218
6.38681 0.01314
1.6567 1.2804
5.95008 0.72671
0.83878 3.23164
0.52035 1.95323
3.45555 1.48921
2.60792 0.37908
6.87903 2.57511
7.35465 1.77447
8.08522 3.51258
0.0421 1.98478
2.44101 0.7076
3.88819 3.68983
4.96871 0.63387
1.27466 2.58892
5.33314 1.32608
0.4615 0.18094
8.04453 0.08077
2.72925 4.65684
5.6378 2.36583
9.86175 2.28587
8.16916 1.36373
9.59547 0.63887
1.93912 0.71865
4.48955 3.05841
5.77684 0.11877
9.56399 0.98022
4.95226 1.34868
0.86055 1.64462
0.73211 1.25029
1.35609 3.43899
0.7155 4.31943
6.77137 2.1904
6.5913 1.44079
8.87579 3.27868
9.81833 4.75781
5.0278 4.27596
6.01808 2.22475
2.59604 1.57179
0.0542 3.04253
0.51525 0.48939
5.79067 3.43115
5.78207 2.63471
9.01279 4.73138
0.76332 3.85254
4.90702 2.13642
2.76328 1.13541
7.84492 2.00066
8.65085 1.8151
9.44253 2.43727
4.07419 1.93797
0.87418 3.55299
5.22221 1.25541
4.94764 0.54633
7.38102 1.20509
7.36511 0.77187
0.99881 1.50278
0.04998 0.4078
8.93078 1.07197
5.09061 0.93411
0.87236 1.96447
3.5833 1.24161
1.66725 2.45773
1.82987 0.89857
1.78864 1.33203
4.1757 2.78018
1.5297 0.26963
3.66201 3.40041
8.70524 0.13097
0.29659 0.68398
8.42387 0.9327
0.48797 3.33787
0.93028 3.77297
0.29101 4.50359
1.4169 1.44249
0.44547 0.76811
9.58886 4.81091
3.38469 3.33593
1.21393 4.81336
7.46016 2.75949
6.00526 0.32443
5.64444 1.6155
3.04264 4.67242
0.81945 4.16672
3.03119 1.03213
7.75228 2.14907
5.52088 0.84783
4.55964 1.74561
0.06411 3.62445
6.26059 0.65124
6.9788 4.65353
5.9325 0.89531
2.71919 0.75121
5.83028 3.63514
7.63484 1.83549
